,open,high,low,close,volume
20201204 09:45:00,3436.729,3436.729,3426.502,3426.689,47643774.0
20201204 10:00:00,3427.008,3430.275,3424.959,3427.015,28665690.0
20201204 10:15:00,3426.148,3428.897,3417.048,3421.702,23388005.0
20201204 10:30:00,3421.357,3426.158,3418.028,3426.158,15279268.0
20201204 10:45:00,3426.113,3427.528,3419.817,3420.767,14516319.0
20201204 11:00:00,3420.87,3431.608,3419.962,3430.535,12499648.0
20201204 11:15:00,3430.434,3431.454,3428.034,3428.034,8797125.0
20201204 11:30:00,3427.589,3434.482,3427.589,3430.027,9482111.0
20201204 13:15:00,3430.308,3437.862,3428.915,3437.805,10426027.0
20201204 13:30:00,3437.884,3442.116,3437.212,3439.532,9543235.0
20201204 13:45:00,3439.402,3448.278,3436.788,3445.512,11363372.0
20201204 14:00:00,3444.875,3448.403,3442.3,3445.125,10666792.0
20201204 14:15:00,3444.726,3446.328,3439.396,3441.443,10871320.0
20201204 14:30:00,3441.139,3441.747,3436.605,3437.184,11171330.0
20201204 14:45:00,3437.145,3444.197,3435.466,3441.337,12714123.0
20201204 15:00:00,3441.371,3444.789,3440.914,3444.582,19248566.0
20201207 09:45:00,3446.648,3449.579,3430.29,3432.703,47574628.0
20201207 10:00:00,3433.3,3433.61,3427.597,3430.167,27061168.0
20201207 10:15:00,3429.501,3433.896,3426.033,3431.108,21568338.0
20201207 10:30:00,3431.112,3436.405,3429.103,3433.374,16102625.0
20201207 10:45:00,3433.575,3433.575,3427.428,3431.201,12963237.0
20201207 11:00:00,3431.012,3434.404,3427.346,3427.346,11042342.0
20201207 11:15:00,3427.031,3429.38,3414.628,3416.918,16530508.0
20201207 11:30:00,3416.719,3421.853,3414.769,3421.853,9766501.0
20201207 13:15:00,3421.852,3428.676,3421.507,3427.311,10228953.0
20201207 13:30:00,3427.79,3429.978,3426.443,3428.034,8921178.0
20201207 13:45:00,3428.703,3430.27,3423.659,3425.141,9995805.0
20201207 14:00:00,3424.745,3424.745,3421.846,3424.319,9561643.0
20201207 14:15:00,3423.668,3427.584,3421.642,3425.971,10535279.0
20201207 14:30:00,3426.057,3427.025,3420.997,3421.768,9218034.0
20201207 14:45:00,3421.564,3421.984,3414.32,3416.789,14704531.0
20201207 15:00:00,3417.208,3418.57,3414.528,3416.604,18747738.0
20201208 09:45:00,3417.693,3428.662,3416.768,3427.006,38829631.0
20201208 10:00:00,3427.374,3427.374,3416.206,3416.206,21664927.0
20201208 10:15:00,3415.953,3418.116,3408.777,3410.166,19563251.0
20201208 10:30:00,3410.174,3416.927,3407.703,3416.796,13480046.0
20201208 10:45:00,3417.344,3419.558,3412.694,3413.173,10534706.0
20201208 11:00:00,3412.671,3414.659,3411.26,3414.659,9952842.0
20201208 11:15:00,3414.182,3415.542,3408.949,3409.476,10508053.0
20201208 11:30:00,3409.25,3409.25,3403.21,3407.987,11191152.0
20201208 13:15:00,3409.654,3414.536,3409.291,3414.475,11194914.0
20201208 13:30:00,3414.251,3420.824,3414.218,3417.333,11718471.0
20201208 13:45:00,3417.334,3419.948,3415.338,3418.101,10064992.0
20201208 14:00:00,3417.801,3419.388,3416.261,3419.084,8707612.0
20201208 14:15:00,3419.312,3422.918,3419.312,3420.376,9186891.0
20201208 14:30:00,3420.194,3420.411,3413.893,3414.803,9699575.0
20201208 14:45:00,3414.241,3415.361,3411.106,3412.893,12274373.0
20201208 15:00:00,3413.379,3414.412,3408.835,3410.177,18335892.0
20201209 09:45:00,3416.079,3422.536,3415.929,3418.847,39381080.0
20201209 10:00:00,3419.127,3421.624,3406.783,3407.44,26195842.0
20201209 10:15:00,3407.016,3409.737,3404.196,3407.847,19860937.0
20201209 10:30:00,3408.344,3415.938,3406.322,3415.706,16240690.0
20201209 10:45:00,3416.036,3416.38,3410.472,3415.794,13846637.0
20201209 11:00:00,3415.892,3416.493,3408.727,3408.727,9684148.0
20201209 11:15:00,3408.826,3413.642,3405.825,3412.613,8481389.0
